标题,日期,url,地块编号（主）,地块编号（副）,地块位置,宗地面积,土地用途,容积率,起始价,成交价(万元),其他
﻿宁海县国土资源局国有建用地使用权挂牌出让公告(宁土资告字[2017]01009号),2017-05-31,http://www.zjdlr.gov.cn/art/2017/5/31/art_1071192_19100.html,宁土资告字[2017]01009号,宁海县原奥达洁具地块,宁海县梅桥区块,38673平方米,其他商服用地,0.5≤容积率≤1,4300万元,,: ; 土地估价备案号:3305017BA0047 ; 加价幅度:10万元 ; 投资强度:0万元/公顷 ; 建筑密度(%):≤35 ; 建筑限高(米): ; 绿化率(%):≥20 ; 保证金:1290万元 ; 挂牌截止时间:2017年07月05日15时00分 ; 出让年限:40年 ; 现状土地条件: ; 挂牌开始时间:2017年06月20日08时00分
﻿海宁市国土资源局国有建用地使用权挂牌出让公告(海土告字[2017]10号),2017-05-31,http://www.zjdlr.gov.cn/art/2017/5/31/art_1071192_19099.html,海土告字[2017]10号,海土字17099号,黄湾镇硖尖公路西侧、翁金线北侧,22204平方米,标准厂房,1.2≤容积率≤1.6,900万元,,: ; 土地估价备案号:3301417BA0095 ; 加价幅度:15万元 ; 投资强度:4500万元/公顷 ; 场地平整基础设施: ; 建筑密度(%):≤50 ; 建筑限高(米): ; 绿化率(%):12≤绿化率≤15 ; 保证金:180万元 ; 挂牌截止时间:2017年06月30日15时00分 ; 出让年限:50年 ; 挂牌开始时间:2017年06月19日08时30分
﻿海宁市国土资源局国有建用地使用权挂牌出让公告(海土告字[2017]10号),2017-05-31,http://www.zjdlr.gov.cn/art/2017/5/31/art_1071192_19099.html,海土告字[2017]10号,海土字17107号,尖山新区潮起路西侧、富江路北侧,26941平方米,其他商服用地,1.3≤容积率≤1.6,6150万元,,: ; 土地估价备案号:3301417BA0101 ; 加价幅度:100万元 ; 投资强度:0万元/公顷 ; 场地平整基础设施: ; 建筑密度(%):≤45 ; 建筑限高(米): ; 绿化率(%):≥15 ; 保证金:1230万元 ; 挂牌截止时间:2017年06月30日15时00分 ; 出让年限:40年 ; 挂牌开始时间:2017年06月19日08时30分 ; 备注:地块内设置一个建筑面积不少于3000平方米壁球馆，并不得分割转让
﻿海宁市国土资源局国有建用地使用权挂牌出让公告(海土告字[2017]10号),2017-05-31,http://www.zjdlr.gov.cn/art/2017/5/31/art_1071192_19099.html,海土告字[2017]10号,海土字17125号,周王庙镇华锦路北侧、创新路西侧,17315平方米,其他工业用地,≥1.1,750万元,,: ; 土地估价备案号:3301417BA0100 ; 加价幅度:10万元 ; 投资强度:4335万元/公顷 ; 场地平整基础设施: ; 建筑密度(%):≤50 ; 建筑限高(米): ; 绿化率(%):≥12 ; 保证金:150万元 ; 挂牌截止时间:2017年06月30日15时00分 ; 出让年限:50年 ; 挂牌开始时间:2017年06月19日08时30分
﻿海宁市国土资源局国有建用地使用权挂牌出让公告(海土告字[2017]10号),2017-05-31,http://www.zjdlr.gov.cn/art/2017/5/31/art_1071192_19099.html,海土告字[2017]10号,海土字17127号,丁桥镇芦红路东侧、龙源纺织北侧地块,12801平方米,其他工业用地,≥1.3,720万元,,: ; 土地估价备案号:3301417BA0096 ; 加价幅度:10万元 ; 投资强度:4680万元/公顷 ; 场地平整基础设施: ; 建筑密度(%):≤50 ; 建筑限高(米): ; 绿化率(%):≥12 ; 保证金:150万元 ; 挂牌截止时间:2017年06月30日15时00分 ; 出让年限:50年 ; 挂牌开始时间:2017年06月19日08时30分
﻿海宁市国土资源局国有建用地使用权挂牌出让公告(海土告字[2017]10号),2017-05-31,http://www.zjdlr.gov.cn/art/2017/5/31/art_1071192_19099.html,海土告字[2017]10号,海土字17128号,丁桥镇芦红路东侧、龙源纺织北侧地块2,9973平方米,其他工业用地,≥1.3,565万元,,: ; 土地估价备案号:3301417BA0099 ; 加价幅度:5万元 ; 投资强度:4590万元/公顷 ; 场地平整基础设施: ; 建筑密度(%):≤50 ; 建筑限高(米): ; 绿化率(%):≥12 ; 保证金:120万元 ; 挂牌截止时间:2017年06月30日15时00分 ; 出让年限:50年 ; 挂牌开始时间:2017年06月19日08时30分
﻿海宁市国土资源局国有建用地使用权挂牌出让公告(海土告字[2017]10号),2017-05-31,http://www.zjdlr.gov.cn/art/2017/5/31/art_1071192_19099.html,海土告字[2017]10号,海土字17134号,长安镇创业路东侧、联合路南侧,12729平方米,其他工业用地,≥1.5,520万元,,: ; 土地估价备案号:3301417BA0098 ; 加价幅度:10万元 ; 投资强度:5280万元/公顷 ; 场地平整基础设施: ; 建筑密度(%):≤50 ; 建筑限高(米): ; 绿化率(%):15≤绿化率≤20 ; 保证金:110万元 ; 挂牌截止时间:2017年06月30日15时00分 ; 出让年限:50年 ; 挂牌开始时间:2017年06月19日08时30分
﻿海宁市国土资源局国有建用地使用权挂牌出让公告(海土告字[2017]10号),2017-05-31,http://www.zjdlr.gov.cn/art/2017/5/31/art_1071192_19099.html,海土告字[2017]10号,海土字17135号,高新区之江路南侧、二号直河西侧,11656平方米,其他工业用地,≥1.2,480万元,,: ; 土地估价备案号:3301417BA0097 ; 加价幅度:10万元 ; 投资强度:4265万元/公顷 ; 场地平整基础设施: ; 建筑密度(%):30≤建筑密度≤50 ; 建筑限高(米): ; 绿化率(%):15≤绿化率≤20 ; 保证金:100万元 ; 挂牌截止时间:2017年06月30日15时00分 ; 出让年限:50年 ; 挂牌开始时间:2017年06月19日08时30分
﻿海宁市国土资源局国有建用地使用权挂牌出让公告(海土告字[2017]10号),2017-05-31,http://www.zjdlr.gov.cn/art/2017/5/31/art_1071192_19099.html,海土告字[2017]10号,海土字17136号,文宗路西联合路南侧,15342平方米,普通商品住房用地,1.8≤容积率≤2.2,20700万元,,: ; 土地估价备案号:3301417BA0103 ; 加价幅度:200万元 ; 投资强度:0万元/公顷 ; 场地平整基础设施: ; 建筑密度(%):≤30 ; 建筑限高(米): ; 绿化率(%):≥30 ; 保证金:4200万元 ; 挂牌截止时间:2017年06月30日15时00分 ; 出让年限:70年 ; 挂牌开始时间:2017年06月19日08时30分
﻿海宁市国土资源局国有建用地使用权挂牌出让公告(海土告字[2017]10号),2017-05-31,http://www.zjdlr.gov.cn/art/2017/5/31/art_1071192_19099.html,海土告字[2017]10号,海土字17138号,尖山新区凤凰路东侧、安江路北侧,7510平方米,其他工业用地,≥1.1,155万元,,: ; 土地估价备案号:3301417BA0102 ; 加价幅度:5万元 ; 投资强度:4455万元/公顷 ; 场地平整基础设施: ; 建筑密度(%):≤50 ; 建筑限高(米): ; 绿化率(%):12≤绿化率≤15 ; 保证金:35万元 ; 挂牌截止时间:2017年06月30日15时00分 ; 出让年限:50年 ; 挂牌开始时间:2017年06月19日08时30分
